"sector_ID","sector","rutunidadcompra","test_type_ID","test_type","beta_robust","p_value","num_observ","description"
"1","Armed Forces","61.999.160-5","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","60.505.723-3","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","65.311.270-K","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.074-0","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.017-1","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.513.003-6","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.086-9","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","60.505.000-K","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.017-1","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","60.514.000-9","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.980.260-8","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.037-0","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","74.069.500-2","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.513.003-6","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.025-2","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.030-3","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.018-4","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.103.019-3","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","65.940.830-9","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.513.003-6","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.103.019-3","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.023-0","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.023-0","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.025-2","2","180-Day Standardized Backlog","-0.41619214","0.058361158","805","The null hypothesis of competition is rejected."
"1","Armed Forces","61.103.020-7","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.027-3","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.016-3","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.016-3","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","60.514.000-9","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.103.022-3","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.103.021-5","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.029-5","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.023-0","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.029-5","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.102.074-0","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.978.670-K","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.018-4","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","65.455.650-4","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.101.018-4","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Armed Forces","61.103.021-5","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
