"rubro2_ID","rubro2","rubro3_ID","rubro3","zone_ID","zone","test_type_ID","test_type","beta_robust","p_value","num_observ","description"
"1","Antitumoral Agents","2","Alkylating Agents","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
