"rubro2_ID","rubro2","rubro3_ID","rubro3","test_type_ID","test_type","beta_robust","p_value","num_observ","description"
"1","Antitumoral Agents","2","Alkylating Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","2","Alkylating Agents","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","3","Incumbency Status","0.07771344","0.05230986","3602","The null hypothesis of competition is rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","3","Incumbency Status","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","2","180-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","1","90-Day Standardized Backlog","-0.19026081","0.030631494","4912","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","3","Incumbency Status","0.023437602","0.07794032","42259","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","1","90-Day Standardized Backlog","","","","The null hypothesis of competition can not be rejected."
